"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GDP","TOT","USD_CAP","A","1994",22642.841565,"E"
"AUT","GDP","TOT","USD_CAP","A","1995",23698.10309,
"AUT","GDP","TOT","USD_CAP","A","1996",24560.615338,
"AUT","GDP","TOT","USD_CAP","A","1997",25426.661912,
"AUT","GDP","TOT","USD_CAP","A","1998",26675.649686,
"AUT","GDP","TOT","USD_CAP","A","1999",27606.484243,
"AUT","GDP","TOT","USD_CAP","A","2000",29381.672832,
"AUT","GDP","TOT","USD_CAP","A","2001",29708.48945,
"AUT","GDP","TOT","USD_CAP","A","2002",31178.051444,
"AUT","GDP","TOT","USD_CAP","A","2003",32158.459529,
"AUT","GDP","TOT","USD_CAP","A","2004",33784.446804,
"AUT","GDP","TOT","USD_CAP","A","2005",35024.557484,
"AUT","GDP","TOT","USD_CAP","A","2006",37662.888035,
"AUT","GDP","TOT","USD_CAP","A","2007",39437.038795,
"AUT","GDP","TOT","USD_CAP","A","2008",41316.022642,
"AUT","GDP","TOT","USD_CAP","A","2009",40927.556365,
"AUT","GDP","TOT","USD_CAP","A","2010",42019.005887,
"AUT","GDP","TOT","USD_CAP","A","2011",44469.209642,
"AUT","GDP","TOT","USD_CAP","A","2012",46477.655075,
"AUT","GDP","TOT","USD_CAP","A","2013",47936.677963,
"AUT","GDP","TOT","USD_CAP","A","2014",48813.534409,
"AUT","GDP","TOT","USD_CAP","A","2015",49942.056293,
"AUT","GDP","TOT","USD_CAP","A","2016",52665.087457,
"AUT","GDP","TOT","USD_CAP","A","2017",54188.360666,
"AUT","GDP","TOT","USD_CAP","A","2018",56956.110562,
"AUT","GDP","TOT","USD_CAP","A","2019",59719.612013,
"AUT","GDP","TOT","USD_CAP","A","2020",57258.818295,
"AUT","GDP","TOT","USD_CAP","A","2021",59991.439846,
"AUT","GDP","TOT","USD_CAP","A","2022",67743.163076,
"BEL","GDP","TOT","USD_CAP","A","1993",20470.683875,"E"
"BEL","GDP","TOT","USD_CAP","A","1994",21518.504151,"E"
"BEL","GDP","TOT","USD_CAP","A","1995",22447.051902,
"BEL","GDP","TOT","USD_CAP","A","1996",22743.894711,
"BEL","GDP","TOT","USD_CAP","A","1997",23732.789845,
"BEL","GDP","TOT","USD_CAP","A","1998",24369.501242,
"BEL","GDP","TOT","USD_CAP","A","1999",25441.891387,
"BEL","GDP","TOT","USD_CAP","A","2000",27790.606306,
"BEL","GDP","TOT","USD_CAP","A","2001",28792.401342,
"BEL","GDP","TOT","USD_CAP","A","2002",30281.667989,
"BEL","GDP","TOT","USD_CAP","A","2003",30934.823303,
"BEL","GDP","TOT","USD_CAP","A","2004",32063.687224,
"BEL","GDP","TOT","USD_CAP","A","2005",33176.680884,
"BEL","GDP","TOT","USD_CAP","A","2006",35256.775979,
"BEL","GDP","TOT","USD_CAP","A","2007",36794.811405,
"BEL","GDP","TOT","USD_CAP","A","2008",37883.233422,
"BEL","GDP","TOT","USD_CAP","A","2009",37751.634063,
"BEL","GDP","TOT","USD_CAP","A","2010",39836.533412,
"BEL","GDP","TOT","USD_CAP","A","2011",40943.343479,
"BEL","GDP","TOT","USD_CAP","A","2012",42290.477674,
"BEL","GDP","TOT","USD_CAP","A","2013",43672.712292,
"BEL","GDP","TOT","USD_CAP","A","2014",44929.933328,
"BEL","GDP","TOT","USD_CAP","A","2015",46201.685891,
"BEL","GDP","TOT","USD_CAP","A","2016",48599.202676,
"BEL","GDP","TOT","USD_CAP","A","2017",50442.947518,
"BEL","GDP","TOT","USD_CAP","A","2018",52530.84151,
"BEL","GDP","TOT","USD_CAP","A","2019",55804.713631,
"BEL","GDP","TOT","USD_CAP","A","2020",54544.41924,"P"
"BEL","GDP","TOT","USD_CAP","A","2021",58845.530928,"P"
"BEL","GDP","TOT","USD_CAP","A","2022",64896.334074,"P"
"CAN","GDP","TOT","USD_CAP","A","1993",21440.052546,
"CAN","GDP","TOT","USD_CAP","A","1994",22632.831273,
"CAN","GDP","TOT","USD_CAP","A","1995",23485.643444,
"CAN","GDP","TOT","USD_CAP","A","1996",24050.176142,
"CAN","GDP","TOT","USD_CAP","A","1997",25259.725362,
"CAN","GDP","TOT","USD_CAP","A","1998",26319.930258,
"CAN","GDP","TOT","USD_CAP","A","1999",27841.629576,
"CAN","GDP","TOT","USD_CAP","A","2000",29362.289573,
"CAN","GDP","TOT","USD_CAP","A","2001",30231.005032,
"CAN","GDP","TOT","USD_CAP","A","2002",30963.222007,
"CAN","GDP","TOT","USD_CAP","A","2003",32350.070882,
"CAN","GDP","TOT","USD_CAP","A","2004",33925.89256,
"CAN","GDP","TOT","USD_CAP","A","2005",36327.662059,
"CAN","GDP","TOT","USD_CAP","A","2006",38120.176792,
"CAN","GDP","TOT","USD_CAP","A","2007",39575.324973,
"CAN","GDP","TOT","USD_CAP","A","2008",40376.330167,
"CAN","GDP","TOT","USD_CAP","A","2009",38865.406022,
"CAN","GDP","TOT","USD_CAP","A","2010",40099.497886,
"CAN","GDP","TOT","USD_CAP","A","2011",41666.718851,
"CAN","GDP","TOT","USD_CAP","A","2012",42290.879082,
"CAN","GDP","TOT","USD_CAP","A","2013",44298.514462,
"CAN","GDP","TOT","USD_CAP","A","2014",45753.782936,
"CAN","GDP","TOT","USD_CAP","A","2015",44670.054374,
"CAN","GDP","TOT","USD_CAP","A","2016",46472.368771,
"CAN","GDP","TOT","USD_CAP","A","2017",48317.191163,
"CAN","GDP","TOT","USD_CAP","A","2018",49992.811418,
"CAN","GDP","TOT","USD_CAP","A","2019",49832.414539,
"CAN","GDP","TOT","USD_CAP","A","2020",47226.357276,
"CAN","GDP","TOT","USD_CAP","A","2021",53023.405782,
"CAN","GDP","TOT","USD_CAP","A","2022",58347.676945,
"CZE","GDP","TOT","USD_CAP","A","1993",12123.459556,"E"
"CZE","GDP","TOT","USD_CAP","A","1994",12735.739208,"E"
"CZE","GDP","TOT","USD_CAP","A","1995",13855.325028,
"CZE","GDP","TOT","USD_CAP","A","1996",14689.582503,
"CZE","GDP","TOT","USD_CAP","A","1997",14825.32895,
"CZE","GDP","TOT","USD_CAP","A","1998",14977.240849,
"CZE","GDP","TOT","USD_CAP","A","1999",15397.922823,
"CZE","GDP","TOT","USD_CAP","A","2000",16211.043497,
"CZE","GDP","TOT","USD_CAP","A","2001",17611.358497,
"CZE","GDP","TOT","USD_CAP","A","2002",18245.669005,
"CZE","GDP","TOT","USD_CAP","A","2003",19524.399624,
"CZE","GDP","TOT","USD_CAP","A","2004",20912.054683,
"CZE","GDP","TOT","USD_CAP","A","2005",22045.99888,
"CZE","GDP","TOT","USD_CAP","A","2006",23857.518264,
"CZE","GDP","TOT","USD_CAP","A","2007",26224.942173,
"CZE","GDP","TOT","USD_CAP","A","2008",27853.549898,
"CZE","GDP","TOT","USD_CAP","A","2009",27635.956473,
"CZE","GDP","TOT","USD_CAP","A","2010",27766.983552,
"CZE","GDP","TOT","USD_CAP","A","2011",28999.754757,
"CZE","GDP","TOT","USD_CAP","A","2012",29258.904853,
"CZE","GDP","TOT","USD_CAP","A","2013",30828.526409,
"CZE","GDP","TOT","USD_CAP","A","2014",32504.217576,
"CZE","GDP","TOT","USD_CAP","A","2015",33909.309243,
"CZE","GDP","TOT","USD_CAP","A","2016",36101.285601,
"CZE","GDP","TOT","USD_CAP","A","2017",38842.896268,
"CZE","GDP","TOT","USD_CAP","A","2018",41157.370409,
"CZE","GDP","TOT","USD_CAP","A","2019",44223.295751,
"CZE","GDP","TOT","USD_CAP","A","2020",42817.867499,
"CZE","GDP","TOT","USD_CAP","A","2021",44813.002627,
"CZE","GDP","TOT","USD_CAP","A","2022",49122.317085,
"DNK","GDP","TOT","USD_CAP","A","1993",20228.549878,
"DNK","GDP","TOT","USD_CAP","A","1994",21691.165893,
"DNK","GDP","TOT","USD_CAP","A","1995",22711.794598,
"DNK","GDP","TOT","USD_CAP","A","1996",23746.219146,
"DNK","GDP","TOT","USD_CAP","A","1997",24928.302667,
"DNK","GDP","TOT","USD_CAP","A","1998",25820.590998,
"DNK","GDP","TOT","USD_CAP","A","1999",26657.827372,
"DNK","GDP","TOT","USD_CAP","A","2000",28672.330304,
"DNK","GDP","TOT","USD_CAP","A","2001",29452.760705,
"DNK","GDP","TOT","USD_CAP","A","2002",30639.953691,
"DNK","GDP","TOT","USD_CAP","A","2003",30825.225589,
"DNK","GDP","TOT","USD_CAP","A","2004",32948.16657,
"DNK","GDP","TOT","USD_CAP","A","2005",34152.881663,
"DNK","GDP","TOT","USD_CAP","A","2006",37333.84624,
"DNK","GDP","TOT","USD_CAP","A","2007",39021.411928,
"DNK","GDP","TOT","USD_CAP","A","2008",41282.995471,
"DNK","GDP","TOT","USD_CAP","A","2009",40332.516629,
"DNK","GDP","TOT","USD_CAP","A","2010",43006.150516,
"DNK","GDP","TOT","USD_CAP","A","2011",44407.94207,
"DNK","GDP","TOT","USD_CAP","A","2012",44808.549212,
"DNK","GDP","TOT","USD_CAP","A","2013",46742.939663,
"DNK","GDP","TOT","USD_CAP","A","2014",47905.477079,
"DNK","GDP","TOT","USD_CAP","A","2015",49058.142344,
"DNK","GDP","TOT","USD_CAP","A","2016",51967.020438,
"DNK","GDP","TOT","USD_CAP","A","2017",55356.49009,
"DNK","GDP","TOT","USD_CAP","A","2018",57479.350221,
"DNK","GDP","TOT","USD_CAP","A","2019",59884.11738,
"DNK","GDP","TOT","USD_CAP","A","2020",60768.060489,
"DNK","GDP","TOT","USD_CAP","A","2021",66117.728509,
"DNK","GDP","TOT","USD_CAP","A","2022",74859.416551,
"FIN","GDP","TOT","USD_CAP","A","1993",17478.778457,
"FIN","GDP","TOT","USD_CAP","A","1994",18479.629474,
"FIN","GDP","TOT","USD_CAP","A","1995",19587.664325,
"FIN","GDP","TOT","USD_CAP","A","1996",20087.761339,
"FIN","GDP","TOT","USD_CAP","A","1997",21794.593198,
"FIN","GDP","TOT","USD_CAP","A","1998",23577.486869,
"FIN","GDP","TOT","USD_CAP","A","1999",24767.163974,
"FIN","GDP","TOT","USD_CAP","A","2000",26789.925656,
"FIN","GDP","TOT","USD_CAP","A","2001",27801.065401,
"FIN","GDP","TOT","USD_CAP","A","2002",28605.122922,
"FIN","GDP","TOT","USD_CAP","A","2003",29053.042068,
"FIN","GDP","TOT","USD_CAP","A","2004",31201.7603,
"FIN","GDP","TOT","USD_CAP","A","2005",32051.762889,
"FIN","GDP","TOT","USD_CAP","A","2006",34452.676186,
"FIN","GDP","TOT","USD_CAP","A","2007",37843.270084,
"FIN","GDP","TOT","USD_CAP","A","2008",40083.701943,
"FIN","GDP","TOT","USD_CAP","A","2009",37972.457701,
"FIN","GDP","TOT","USD_CAP","A","2010",38954.131777,
"FIN","GDP","TOT","USD_CAP","A","2011",40916.647325,
"FIN","GDP","TOT","USD_CAP","A","2012",40872.854802,
"FIN","GDP","TOT","USD_CAP","A","2013",41492.918416,
"FIN","GDP","TOT","USD_CAP","A","2014",41749.864733,
"FIN","GDP","TOT","USD_CAP","A","2015",42490.211049,
"FIN","GDP","TOT","USD_CAP","A","2016",44934.488245,
"FIN","GDP","TOT","USD_CAP","A","2017",47570.270354,
"FIN","GDP","TOT","USD_CAP","A","2018",49573.255773,
"FIN","GDP","TOT","USD_CAP","A","2019",51811.599332,
"FIN","GDP","TOT","USD_CAP","A","2020",52294.342491,
"FIN","GDP","TOT","USD_CAP","A","2021",54772.858854,
"FIN","GDP","TOT","USD_CAP","A","2022",59462.722918,
"FRA","GDP","TOT","USD_CAP","A","1993",19209.673379,
"FRA","GDP","TOT","USD_CAP","A","1994",20008.098899,
"FRA","GDP","TOT","USD_CAP","A","1995",20782.665875,
"FRA","GDP","TOT","USD_CAP","A","1996",21362.732661,
"FRA","GDP","TOT","USD_CAP","A","1997",22247.339246,
"FRA","GDP","TOT","USD_CAP","A","1998",23363.975956,
"FRA","GDP","TOT","USD_CAP","A","1999",24311.403864,
"FRA","GDP","TOT","USD_CAP","A","2000",26099.7352,
"FRA","GDP","TOT","USD_CAP","A","2001",27499.541566,
"FRA","GDP","TOT","USD_CAP","A","2002",28528.156107,
"FRA","GDP","TOT","USD_CAP","A","2003",28178.57676,
"FRA","GDP","TOT","USD_CAP","A","2004",29065.215266,
"FRA","GDP","TOT","USD_CAP","A","2005",30504.058784,
"FRA","GDP","TOT","USD_CAP","A","2006",32472.773806,
"FRA","GDP","TOT","USD_CAP","A","2007",34132.697684,
"FRA","GDP","TOT","USD_CAP","A","2008",35102.870428,
"FRA","GDP","TOT","USD_CAP","A","2009",34686.479663,
"FRA","GDP","TOT","USD_CAP","A","2010",35910.195851,
"FRA","GDP","TOT","USD_CAP","A","2011",37447.949543,
"FRA","GDP","TOT","USD_CAP","A","2012",37684.198067,
"FRA","GDP","TOT","USD_CAP","A","2013",39528.473644,
"FRA","GDP","TOT","USD_CAP","A","2014",40144.059485,
"FRA","GDP","TOT","USD_CAP","A","2015",40829.893311,
"FRA","GDP","TOT","USD_CAP","A","2016",42855.944562,
"FRA","GDP","TOT","USD_CAP","A","2017",44445.59677,
"FRA","GDP","TOT","USD_CAP","A","2018",46336.933985,
"FRA","GDP","TOT","USD_CAP","A","2019",50222.232835,
"FRA","GDP","TOT","USD_CAP","A","2020",47828.528542,
"FRA","GDP","TOT","USD_CAP","A","2021",51011.836944,"P"
"FRA","GDP","TOT","USD_CAP","A","2022",55043.426259,"P"
"DEU","GDP","TOT","USD_CAP","A","1993",21932.079726,
"DEU","GDP","TOT","USD_CAP","A","1994",22879.403869,
"DEU","GDP","TOT","USD_CAP","A","1995",23672.893332,
"DEU","GDP","TOT","USD_CAP","A","1996",24211.200418,
"DEU","GDP","TOT","USD_CAP","A","1997",24730.827071,
"DEU","GDP","TOT","USD_CAP","A","1998",25532.748584,
"DEU","GDP","TOT","USD_CAP","A","1999",26510.228697,
"DEU","GDP","TOT","USD_CAP","A","2000",27456.262771,
"DEU","GDP","TOT","USD_CAP","A","2001",28663.895351,
"DEU","GDP","TOT","USD_CAP","A","2002",29504.28924,
"DEU","GDP","TOT","USD_CAP","A","2003",30270.992251,
"DEU","GDP","TOT","USD_CAP","A","2004",31741.875731,
"DEU","GDP","TOT","USD_CAP","A","2005",32236.740986,
"DEU","GDP","TOT","USD_CAP","A","2006",34664.541909,
"DEU","GDP","TOT","USD_CAP","A","2007",36863.113348,
"DEU","GDP","TOT","USD_CAP","A","2008",38432.448211,
"DEU","GDP","TOT","USD_CAP","A","2009",37465.456323,
"DEU","GDP","TOT","USD_CAP","A","2010",39675.00238,
"DEU","GDP","TOT","USD_CAP","A","2011",42541.513126,
"DEU","GDP","TOT","USD_CAP","A","2012",43359.541048,
"DEU","GDP","TOT","USD_CAP","A","2013",44993.667838,
"DEU","GDP","TOT","USD_CAP","A","2014",47011.280402,
"DEU","GDP","TOT","USD_CAP","A","2015",47609.557159,
"DEU","GDP","TOT","USD_CAP","A","2016",50579.483717,
"DEU","GDP","TOT","USD_CAP","A","2017",53071.478374,
"DEU","GDP","TOT","USD_CAP","A","2018",55195.722049,
"DEU","GDP","TOT","USD_CAP","A","2019",57397.473982,"P"
"DEU","GDP","TOT","USD_CAP","A","2020",56482.377267,"P"
"DEU","GDP","TOT","USD_CAP","A","2021",58799.012445,"P"
"DEU","GDP","TOT","USD_CAP","A","2022",63409.434965,"P"
"GRC","GDP","TOT","USD_CAP","A","1993",14314.168821,"E"
"GRC","GDP","TOT","USD_CAP","A","1994",14844.886093,"E"
"GRC","GDP","TOT","USD_CAP","A","1995",15433.238558,
"GRC","GDP","TOT","USD_CAP","A","1996",16149.875697,
"GRC","GDP","TOT","USD_CAP","A","1997",17155.798791,
"GRC","GDP","TOT","USD_CAP","A","1998",18034.125759,
"GRC","GDP","TOT","USD_CAP","A","1999",18464.726453,
"GRC","GDP","TOT","USD_CAP","A","2000",19519.978023,
"GRC","GDP","TOT","USD_CAP","A","2001",20958.780315,
"GRC","GDP","TOT","USD_CAP","A","2002",22615.957435,
"GRC","GDP","TOT","USD_CAP","A","2003",23897.755346,
"GRC","GDP","TOT","USD_CAP","A","2004",25460.561383,
"GRC","GDP","TOT","USD_CAP","A","2005",25577.445437,
"GRC","GDP","TOT","USD_CAP","A","2006",28547.218881,
"GRC","GDP","TOT","USD_CAP","A","2007",29323.909492,
"GRC","GDP","TOT","USD_CAP","A","2008",30855.935774,
"GRC","GDP","TOT","USD_CAP","A","2009",30359.446595,
"GRC","GDP","TOT","USD_CAP","A","2010",27911.57449,"B"
"GRC","GDP","TOT","USD_CAP","A","2011",25671.409119,
"GRC","GDP","TOT","USD_CAP","A","2012",24911.130276,
"GRC","GDP","TOT","USD_CAP","A","2013",25986.640698,
"GRC","GDP","TOT","USD_CAP","A","2014",26625.159298,
"GRC","GDP","TOT","USD_CAP","A","2015",26760.280798,
"GRC","GDP","TOT","USD_CAP","A","2016",27511.803202,
"GRC","GDP","TOT","USD_CAP","A","2017",28604.829152,
"GRC","GDP","TOT","USD_CAP","A","2018",29617.518625,
"GRC","GDP","TOT","USD_CAP","A","2019",31155.946796,
"GRC","GDP","TOT","USD_CAP","A","2020",28416.523031,"P"
"GRC","GDP","TOT","USD_CAP","A","2021",31297.164572,"P"
"GRC","GDP","TOT","USD_CAP","A","2022",36794.851579,"P"
"HUN","GDP","TOT","USD_CAP","A","1993",8466.151321,"E"
"HUN","GDP","TOT","USD_CAP","A","1994",8930.40706,"E"
"HUN","GDP","TOT","USD_CAP","A","1995",9192.590411,
"HUN","GDP","TOT","USD_CAP","A","1996",9352.284675,
"HUN","GDP","TOT","USD_CAP","A","1997",9824.818359,
"HUN","GDP","TOT","USD_CAP","A","1998",10398.343521,
"HUN","GDP","TOT","USD_CAP","A","1999",10873.247873,
"HUN","GDP","TOT","USD_CAP","A","2000",11855.464682,
"HUN","GDP","TOT","USD_CAP","A","2001",13210.457753,
"HUN","GDP","TOT","USD_CAP","A","2002",14526.388251,
"HUN","GDP","TOT","USD_CAP","A","2003",15479.026769,
"HUN","GDP","TOT","USD_CAP","A","2004",16268.938786,
"HUN","GDP","TOT","USD_CAP","A","2005",17108.340595,
"HUN","GDP","TOT","USD_CAP","A","2006",18382.558594,
"HUN","GDP","TOT","USD_CAP","A","2007",19096.705486,
"HUN","GDP","TOT","USD_CAP","A","2008",20721.502411,
"HUN","GDP","TOT","USD_CAP","A","2009",20722.886939,
"HUN","GDP","TOT","USD_CAP","A","2010",21741.545922,
"HUN","GDP","TOT","USD_CAP","A","2011",23029.447178,
"HUN","GDP","TOT","USD_CAP","A","2012",23267.448393,
"HUN","GDP","TOT","USD_CAP","A","2013",24547.980456,
"HUN","GDP","TOT","USD_CAP","A","2014",25691.527335,
"HUN","GDP","TOT","USD_CAP","A","2015",26798.854228,
"HUN","GDP","TOT","USD_CAP","A","2016",27941.926751,
"HUN","GDP","TOT","USD_CAP","A","2017",29496.163748,
"HUN","GDP","TOT","USD_CAP","A","2018",31908.863431,
"HUN","GDP","TOT","USD_CAP","A","2019",34645.565383,
"HUN","GDP","TOT","USD_CAP","A","2020",34169.922355,
"HUN","GDP","TOT","USD_CAP","A","2021",36773.313939,"P"
"HUN","GDP","TOT","USD_CAP","A","2022",41906.794102,"P"
"ISL","GDP","TOT","USD_CAP","A","1993",22454.910804,"E"
"ISL","GDP","TOT","USD_CAP","A","1994",23565.561035,"E"
"ISL","GDP","TOT","USD_CAP","A","1995",23961.642436,
"ISL","GDP","TOT","USD_CAP","A","1996",24777.213985,
"ISL","GDP","TOT","USD_CAP","A","1997",26895.631883,
"ISL","GDP","TOT","USD_CAP","A","1998",28747.691475,
"ISL","GDP","TOT","USD_CAP","A","1999",29576.841574,
"ISL","GDP","TOT","USD_CAP","A","2000",29785.366302,
"ISL","GDP","TOT","USD_CAP","A","2001",31867.3852,
"ISL","GDP","TOT","USD_CAP","A","2002",32598.376021,
"ISL","GDP","TOT","USD_CAP","A","2003",32725.872765,
"ISL","GDP","TOT","USD_CAP","A","2004",35552.37688,
"ISL","GDP","TOT","USD_CAP","A","2005",37427.934965,
"ISL","GDP","TOT","USD_CAP","A","2006",39630.186916,
"ISL","GDP","TOT","USD_CAP","A","2007",41490.779915,
"ISL","GDP","TOT","USD_CAP","A","2008",43456.216759,
"ISL","GDP","TOT","USD_CAP","A","2009",41772.679994,
"ISL","GDP","TOT","USD_CAP","A","2010",39778.39158,
"ISL","GDP","TOT","USD_CAP","A","2011",40938.664549,
"ISL","GDP","TOT","USD_CAP","A","2012",42006.543346,
"ISL","GDP","TOT","USD_CAP","A","2013",44404.731588,
"ISL","GDP","TOT","USD_CAP","A","2014",45995.001692,
"ISL","GDP","TOT","USD_CAP","A","2015",49203.294991,
"ISL","GDP","TOT","USD_CAP","A","2016",53486.615773,
"ISL","GDP","TOT","USD_CAP","A","2017",55638.491978,
"ISL","GDP","TOT","USD_CAP","A","2018",57201.173335,
"ISL","GDP","TOT","USD_CAP","A","2019",59601.931544,
"ISL","GDP","TOT","USD_CAP","A","2020",54298.422112,
"ISL","GDP","TOT","USD_CAP","A","2021",58198.487788,
"ISL","GDP","TOT","USD_CAP","A","2022",69390.146757,"E"
"IRL","GDP","TOT","USD_CAP","A","1993",15822.271488,"E"
"IRL","GDP","TOT","USD_CAP","A","1994",17033.10406,"E"
"IRL","GDP","TOT","USD_CAP","A","1995",18984.723418,
"IRL","GDP","TOT","USD_CAP","A","1996",20545.555253,
"IRL","GDP","TOT","USD_CAP","A","1997",22697.18869,
"IRL","GDP","TOT","USD_CAP","A","1998",25083.079224,
"IRL","GDP","TOT","USD_CAP","A","1999",27041.428204,
"IRL","GDP","TOT","USD_CAP","A","2000",30218.776099,
"IRL","GDP","TOT","USD_CAP","A","2001",32594.17983,
"IRL","GDP","TOT","USD_CAP","A","2002",35222.81925,
"IRL","GDP","TOT","USD_CAP","A","2003",36280.535976,
"IRL","GDP","TOT","USD_CAP","A","2004",38761.427777,
"IRL","GDP","TOT","USD_CAP","A","2005",40465.316509,
"IRL","GDP","TOT","USD_CAP","A","2006",44268.552868,
"IRL","GDP","TOT","USD_CAP","A","2007",46766.183807,
"IRL","GDP","TOT","USD_CAP","A","2008",44105.364476,
"IRL","GDP","TOT","USD_CAP","A","2009",41436.941843,
"IRL","GDP","TOT","USD_CAP","A","2010",43211.902863,
"IRL","GDP","TOT","USD_CAP","A","2011",45132.175891,
"IRL","GDP","TOT","USD_CAP","A","2012",46304.784189,
"IRL","GDP","TOT","USD_CAP","A","2013",47836.18565,
"IRL","GDP","TOT","USD_CAP","A","2014",51296.92985,
"IRL","GDP","TOT","USD_CAP","A","2015",69305.538798,
"IRL","GDP","TOT","USD_CAP","A","2016",71505.746281,
"IRL","GDP","TOT","USD_CAP","A","2017",78252.205616,
"IRL","GDP","TOT","USD_CAP","A","2018",85034.728547,
"IRL","GDP","TOT","USD_CAP","A","2019",89759.238887,
"IRL","GDP","TOT","USD_CAP","A","2020",94646.640757,
"IRL","GDP","TOT","USD_CAP","A","2021",108831.365241,
"IRL","GDP","TOT","USD_CAP","A","2022",127146.265184,
"ITA","GDP","TOT","USD_CAP","A","1993",20439.351288,"E"
"ITA","GDP","TOT","USD_CAP","A","1994",21320.510106,"E"
"ITA","GDP","TOT","USD_CAP","A","1995",22395.619943,
"ITA","GDP","TOT","USD_CAP","A","1996",23058.967635,
"ITA","GDP","TOT","USD_CAP","A","1997",23875.770827,
"ITA","GDP","TOT","USD_CAP","A","1998",25021.680907,
"ITA","GDP","TOT","USD_CAP","A","1999",25602.386484,
"ITA","GDP","TOT","USD_CAP","A","2000",27077.647701,
"ITA","GDP","TOT","USD_CAP","A","2001",28036.302758,
"ITA","GDP","TOT","USD_CAP","A","2002",28721.076279,
"ITA","GDP","TOT","USD_CAP","A","2003",29154.663843,
"ITA","GDP","TOT","USD_CAP","A","2004",29481.853691,
"ITA","GDP","TOT","USD_CAP","A","2005",30028.488979,
"ITA","GDP","TOT","USD_CAP","A","2006",32309.294219,
"ITA","GDP","TOT","USD_CAP","A","2007",33960.788711,
"ITA","GDP","TOT","USD_CAP","A","2008",35292.601856,
"ITA","GDP","TOT","USD_CAP","A","2009",34335.925384,
"ITA","GDP","TOT","USD_CAP","A","2010",34838.135774,
"ITA","GDP","TOT","USD_CAP","A","2011",36203.328522,
"ITA","GDP","TOT","USD_CAP","A","2012",36091.373957,
"ITA","GDP","TOT","USD_CAP","A","2013",36267.925352,
"ITA","GDP","TOT","USD_CAP","A","2014",36475.976061,
"ITA","GDP","TOT","USD_CAP","A","2015",37206.331822,
"ITA","GDP","TOT","USD_CAP","A","2016",40267.222623,
"ITA","GDP","TOT","USD_CAP","A","2017",41951.466331,
"ITA","GDP","TOT","USD_CAP","A","2018",43427.663143,
"ITA","GDP","TOT","USD_CAP","A","2019",45799.741922,
"ITA","GDP","TOT","USD_CAP","A","2020",43144.404157,
"ITA","GDP","TOT","USD_CAP","A","2021",46686.423758,
"ITA","GDP","TOT","USD_CAP","A","2022",51790.411578,
"JPN","GDP","TOT","USD_CAP","A","1993",22149.219699,"E"
"JPN","GDP","TOT","USD_CAP","A","1994",22834.751706,
"JPN","GDP","TOT","USD_CAP","A","1995",23865.913636,
"JPN","GDP","TOT","USD_CAP","A","1996",25009.682085,
"JPN","GDP","TOT","USD_CAP","A","1997",25629.420659,
"JPN","GDP","TOT","USD_CAP","A","1998",25520.196541,
"JPN","GDP","TOT","USD_CAP","A","1999",25744.916581,
"JPN","GDP","TOT","USD_CAP","A","2000",27289.851934,
"JPN","GDP","TOT","USD_CAP","A","2001",27946.083138,
"JPN","GDP","TOT","USD_CAP","A","2002",28633.69892,
"JPN","GDP","TOT","USD_CAP","A","2003",29411.592882,
